k-means,lwea,monti,monti_fixed,mv
[  5.68357400e-01   1.23314365e+03   1.52545690e-02   1.52534556e+00],[  3.95403898e-01   8.88839130e+02   3.19265232e-02   4.11950924e-01],[  5.26643622e-01   4.07788776e+02   2.54010941e-02   8.40590973e+00],[  5.68085959e-01   1.23311197e+03   1.52545690e-02   1.53910887e+00],[  5.79896876e-01   1.00912946e+03   1.43314792e-02   1.42448752e+00]
[  5.41626943e-01   9.89445511e+02   2.28921510e-02   1.83106456e+00],[  4.97775833e-01   8.30435671e+02   2.20715053e-03   3.63786810e-01],[  4.82629078e-01   2.85147085e+02   4.40569987e-02   1.47774899e+01],[  5.41981595e-01   9.89360984e+02   2.28921510e-02   1.83265533e+00],[  5.85499222e-01   8.34468247e+02   5.63255608e-03   1.13621337e+00]
[  4.35603306e-01   5.22235577e+02   2.09700805e-02   2.81578451e+00],[  3.27581236e-01   3.48932102e+02   1.56629044e-02   1.25776607e+00],[  6.10472220e-01   4.00380368e+02   2.38467049e-02   2.55269253e+01],[  4.33478399e-01   5.20697664e+02   3.56310779e-02   2.79744623e+00],[  5.53418381e-01   3.72127024e+02   2.28947266e-02   2.25822985e+01]
[  6.14183099e-01   1.95270237e+03   1.57726479e-02   6.46780508e-01],[  5.87296962e-01   1.58131725e+03   1.27178327e-02   5.45170724e-02],[  6.02409869e-01   5.66277805e+02   2.99828973e-02   8.17274395e+00],[  6.14183099e-01   1.95270237e+03   1.57726479e-02   6.46780508e-01],[  7.29968490e-01   1.98007911e+03   1.27178327e-02   1.64689617e-01]
[  5.83040221e-01   1.65344119e+03   1.57723609e-02   1.15529333e+00],[  4.41634757e-01   1.14785015e+03   1.44908006e-03   7.59930924e-01],[  5.76054161e-01   3.69147929e+02   2.11236452e-02   9.34344246e+00],[  5.82599234e-01   1.65343639e+03   2.31612172e-02   1.18057935e+00],[  6.12278254e-01   8.37743385e+02   2.82461518e-02   5.91953312e-01]
[  5.52428295e-01   1.08275615e+03   6.77630702e-03   2.02518259e+00],[  4.62548988e-01   8.76032876e+02   6.58188105e-03   8.09348585e-01],[  5.22301833e-01   3.59245112e+02   4.33403461e-02   5.01258551e+00],[  5.52250880e-01   1.08268260e+03   6.77630702e-03   2.01416226e+00],[  6.05844339e-01   6.53224078e+02   3.78767143e-03   2.83757589e+00]
[  5.26406226e-01   1.11156609e+03   2.38066297e-02   2.38335266e+00],[  2.59487431e-01   4.96364790e+02   6.34549066e-03   2.12175916e+00],[  4.95134566e-01   4.33127882e+02   5.30858313e-02   9.28407905e+00],[  5.26484066e-01   1.11142119e+03   2.25243443e-02   2.37195818e+00],[  3.66687804e-01   3.64509259e+02   1.56121983e-02   6.88146677e+00]
[  5.53287388e-01   1.10924435e+03   1.41824050e-02   2.10103993e+00],[  3.24072745e-01   5.82791161e+02   6.82762716e-03   7.38392942e-01],[  5.07820970e-01   2.84303809e+02   3.44246162e-02   1.66312149e+01],[  5.53630898e-01   1.10934466e+03   1.63291150e-02   2.09107024e+00],[  5.43649622e-01   7.50052125e+02   1.77312722e-02   2.49942462e+00]
[  6.27826008e-01   1.86491073e+03   1.69124639e-02   1.07741220e+00],[  3.49165149e-01   1.08250684e+03   1.07426887e-02   4.66325668e-01],[  5.34619988e-01   3.58642772e+02   3.29135562e-02   1.35354042e+01],[  5.90544000e-01   1.82379159e+03   1.28686176e-02   1.49185523e+00],[  6.49122903e-01   1.25767708e+03   3.12837296e-02   6.28283795e-01]
[  5.81497967e-01   1.69614118e+03   2.66291635e-02   1.44278753e+00],[  3.79617796e-01   8.47543850e+02   2.39455465e-02   1.81398941e-01],[  5.22956917e-01   4.48905512e+02   1.03870548e-02   7.48600114e+00],[  5.81326197e-01   1.69607096e+03   2.32987153e-02   1.40580421e+00],[  6.65187872e-01   1.45553057e+03   1.74507327e-02   6.87882982e-01]
[  4.82825943e-01   1.04523086e+03   3.25906040e-02   2.31309669e+00],[  3.27037810e-01   7.06065594e+02   1.09558321e-02   1.01804250e+00],[  5.91535968e-01   3.34542136e+02   5.90215885e-02   3.26721295e+01],[  4.83307516e-01   1.04610861e+03   4.04490534e-02   2.31084510e+00],[  5.93492804e-01   6.39364232e+02   7.74626429e-03   6.66027254e+00]
[  5.96536223e-01   1.42762693e+03   2.22938962e-02   1.34138038e+00],[  3.11349296e-01   5.76372377e+02   1.52172579e-02   4.57323115e-01],[  4.66446889e-01   3.84366110e+02   3.68455801e-02   8.58743830e+00],[  5.96132821e-01   1.42743605e+03   2.22938962e-02   1.35813184e+00],[  6.40268123e-01   1.11724867e+03   1.65214449e-02   1.19308847e+00]
[  6.39519324e-01   2.21696644e+03   1.19964551e-02   8.21122896e-01],[  4.05010729e-01   7.82085503e+02   9.04012851e-03   1.15467905e-01],[  5.14083897e-01   3.91658440e+02   3.49562488e-02   7.56107075e+00],[  6.39225544e-01   2.21679298e+03   1.19964551e-02   8.44477556e-01],[  7.22444177e-01   2.24066197e+03   9.74703130e-03   2.02491510e-01]
[  5.40222876e-01   3.85458680e+03   1.46254708e-02   1.74230512e+00],[  1.81472797e-01   2.55464277e+03   2.66252783e-02   1.79996755e-01],[  6.41552627e-01   6.08095948e+02   4.13269035e-02   2.71010854e+00],[  5.40428783e-01   3.85427030e+03   2.04009748e-02   1.74500989e+00],[  8.11418927e-01   3.99086186e+03   3.06212371e-02   1.05341276e-01]
