k-means,lwea_with_known_n_clusters,monti,monti_fixed,monti_hierarchical,mv
[  7.12705843e-01   1.62913936e+03   1.10646360e-01   2.30514050e-01],[  7.12705843e-01   1.62913936e+03   1.10646360e-01   2.30514050e-01],[  4.46174938e-01   2.08553803e+02   3.90522248e-02   7.42309837e+00],[  7.12705843e-01   1.62913936e+03   1.10646360e-01   2.30514050e-01],[  4.46174938e-01   2.08553803e+02   3.90522248e-02   7.42309837e+00],[  7.12705843e-01   1.62913936e+03   1.10646360e-01   2.30514050e-01]
[  4.97850990e-01   2.74820282e+03   3.95558814e-02   1.69843297e+00],[  4.98595095e-01   2.75279128e+03   4.48774241e-02   1.67796244e+00],[  6.54523820e-01   6.12232814e+02   1.52723773e-02   1.14788621e+01],[  4.98421999e-01   2.75053852e+03   4.29406562e-02   1.66380560e+00],[  6.54523820e-01   6.12232814e+02   1.52723773e-02   1.14788621e+01],[  7.05531732e-01   2.02868139e+03   3.02600376e-02   1.95778697e-01]
[  6.95298799e-01   1.74460034e+03   1.34199947e-02   4.42508924e-01],[  6.95298799e-01   1.74460034e+03   1.34199947e-02   4.42508924e-01],[  5.40615633e-01   2.51875405e+02   4.79506893e-02   3.06839313e+01],[  6.95298799e-01   1.74460034e+03   1.34199947e-02   4.42508924e-01],[  5.40615633e-01   2.51875405e+02   4.79506893e-02   3.06839313e+01],[  6.95298799e-01   1.74460034e+03   1.34199947e-02   4.42508924e-01]
[  7.17526546e-01   2.29701294e+03   7.39777438e-02   2.45039178e-01],[  7.17526546e-01   2.29701294e+03   7.39777438e-02   2.45039178e-01],[  4.71483725e-01   3.34009233e+02   4.77551439e-02   5.69522864e+00],[  7.17526546e-01   2.29701294e+03   7.39777438e-02   2.45039178e-01],[  4.71483725e-01   3.34009233e+02   4.77551439e-02   5.69522864e+00],[  7.17526546e-01   2.29701294e+03   7.39777438e-02   2.45039178e-01]
[  6.78349178e-01   1.60353525e+03   3.99736019e-02   2.50152899e-01],[  6.78349178e-01   1.60353525e+03   3.99736019e-02   2.50152899e-01],[  4.87865016e-01   3.39475362e+02   2.31662347e-02   1.21151557e+01],[  6.78349178e-01   1.60353525e+03   3.99736019e-02   2.50152899e-01],[  4.87865016e-01   3.39475362e+02   2.31662347e-02   1.21151557e+01],[  6.78349178e-01   1.60353525e+03   3.99736019e-02   2.50152899e-01]
[  7.87587107e-01   1.79727927e+03   7.37628810e-02   0.00000000e+00],[  7.87587107e-01   1.79727927e+03   7.37628810e-02   0.00000000e+00],[  3.61885563e-01   1.62535838e+02   1.59635248e-02   7.60947954e+00],[  7.87587107e-01   1.79727927e+03   7.37628810e-02   0.00000000e+00],[  3.61457830e-01   1.62298780e+02   1.98777217e-02   7.58309988e+00],[  7.87587107e-01   1.79727927e+03   7.37628810e-02   0.00000000e+00]
[  7.62661244e-01   1.76921943e+03   9.21927799e-02   4.02624534e-03],[  7.62661244e-01   1.76921943e+03   9.21927799e-02   4.02624534e-03],[  3.96973496e-01   1.78745609e+02   2.89306945e-02   1.13970263e+01],[  7.62661244e-01   1.76921943e+03   9.21927799e-02   4.02624534e-03],[  3.96973496e-01   1.78745609e+02   2.89306945e-02   1.13970263e+01],[  7.62661244e-01   1.76921943e+03   9.21927799e-02   4.02624534e-03]
[  7.92101022e-01   2.42512629e+03   9.35596695e-02   0.00000000e+00],[  7.92101022e-01   2.42512629e+03   9.35596695e-02   0.00000000e+00],[  3.89494503e-01   2.06474146e+02   3.52742797e-02   5.09983076e+00],[  7.92101022e-01   2.42512629e+03   9.35596695e-02   0.00000000e+00],[  3.89494503e-01   2.06474146e+02   3.52742797e-02   5.09983076e+00],[  7.92101022e-01   2.42512629e+03   9.35596695e-02   0.00000000e+00]
[  7.65542275e-01   1.48461773e+03   1.08935684e-01   0.00000000e+00],[  7.65542275e-01   1.48461773e+03   1.08935684e-01   0.00000000e+00],[  3.21237453e-01   1.46181642e+02   3.44605290e-02   7.27151515e+00],[  7.65542275e-01   1.48461773e+03   1.08935684e-01   0.00000000e+00],[  3.21237453e-01   1.46181642e+02   3.44605290e-02   7.27151515e+00],[  7.65542275e-01   1.48461773e+03   1.08935684e-01   0.00000000e+00]
[  5.76991101e-01   2.51036081e+03   1.13404807e-02   1.30595382e+00],[  5.76991942e-01   2.51015501e+03   1.26659512e-02   1.30595056e+00],[  5.48305032e-01   4.22727912e+02   2.34013056e-02   9.01606726e+00],[  5.76987263e-01   2.50988573e+03   1.13071215e-02   1.30459146e+00],[  5.48305032e-01   4.22727912e+02   2.34013056e-02   9.01606726e+00],[  6.33734388e-01   1.71799338e+03   2.67651216e-02   2.34189090e-01]
[  6.03850121e-01   1.96586179e+03   2.91295792e-02   9.67847739e-01],[  6.03850121e-01   1.96586179e+03   2.91295792e-02   9.67847739e-01],[  4.82351308e-01   3.22598256e+02   3.39484949e-02   5.32566530e+00],[  6.03854638e-01   1.96582814e+03   2.87989549e-02   9.65564701e-01],[  4.82351308e-01   3.22598256e+02   3.39484949e-02   5.32566530e+00],[  6.55048848e-01   1.87918763e+03   4.26645749e-02   6.09764459e-01]
[  6.80613890e-01   1.58452813e+03   5.17836440e-02   4.28671015e-01],[  6.80613890e-01   1.58452813e+03   5.17836440e-02   4.28671015e-01],[  3.93208548e-01   2.21474387e+02   3.60013611e-02   1.19261246e+01],[  6.80613890e-01   1.58452813e+03   5.17836440e-02   4.28671015e-01],[  3.93208548e-01   2.21474387e+02   3.60013611e-02   1.19261246e+01],[  6.87971907e-01   1.53752181e+03   4.52977562e-02   3.67912629e-01]
[  7.05385438e-01   1.82561913e+03   6.17683001e-02   6.68497269e-02],[  7.05385438e-01   1.82561913e+03   6.17683001e-02   6.68497269e-02],[  4.48270318e-01   3.56388539e+02   4.29484335e-02   6.13721929e+00],[  7.05385438e-01   1.82561913e+03   6.17683001e-02   6.68497269e-02],[  4.48270318e-01   3.56388539e+02   4.29484335e-02   6.13721929e+00],[  7.05385438e-01   1.82561913e+03   6.17683001e-02   6.68497269e-02]
[  7.07627936e-01   1.73512030e+03   8.99976302e-02   9.76627718e-02],[  7.07627936e-01   1.73512030e+03   8.99976302e-02   9.76627718e-02],[  4.25496084e-01   3.01039431e+02   3.29110246e-02   6.03150000e+00],[  7.07627936e-01   1.73512030e+03   8.99976302e-02   9.76627718e-02],[  4.25496084e-01   3.01039431e+02   3.29110246e-02   6.03150000e+00],[  7.07627936e-01   1.73512030e+03   8.99976302e-02   9.76627718e-02]
[  7.57370877e-01   1.95817204e+03   6.99937382e-02   2.99673764e-03],[  7.57370877e-01   1.95817204e+03   6.99937382e-02   2.99673764e-03],[  3.67914893e-01   2.15521862e+02   1.95071407e-02   6.01143672e+00],[  7.57370877e-01   1.95817204e+03   6.99937382e-02   2.99673764e-03],[  3.67914893e-01   2.15521862e+02   1.95071407e-02   6.01143672e+00],[  7.57370877e-01   1.95817204e+03   6.99937382e-02   2.99673764e-03]
[  7.78422596e-01   1.54680250e+03   5.97589895e-02   0.00000000e+00],[  7.78422596e-01   1.54680250e+03   5.97589895e-02   0.00000000e+00],[  3.06023563e-01   1.40146835e+02   4.08243885e-02   1.25194453e+01],[  7.78422596e-01   1.54680250e+03   5.97589895e-02   0.00000000e+00],[  2.76772700e-01   1.23629235e+02   3.23663749e-02   9.38724818e+00],[  7.78422596e-01   1.54680250e+03   5.97589895e-02   0.00000000e+00]
[  7.51821753e-01   1.63388527e+03   1.02105211e-01   3.25546860e-03],[  7.51821753e-01   1.63388527e+03   1.02105211e-01   3.25546860e-03],[  3.42309437e-01   1.87027431e+02   3.37778547e-02   6.03346475e+00],[  7.51821753e-01   1.63388527e+03   1.02105211e-01   3.25546860e-03],[  3.42309437e-01   1.87027431e+02   3.37778547e-02   6.03346475e+00],[  7.51821753e-01   1.63388527e+03   1.02105211e-01   3.25546860e-03]
[  5.86772127e-01   2.76398817e+03   1.09643671e-02   1.29246196e+00],[  5.87066875e-01   2.76533236e+03   9.83320685e-03   1.27060945e+00],[  5.36983992e-01   5.09727207e+02   4.62170352e-03   7.67148131e+00],[  5.86899867e-01   2.76488648e+03   1.08195790e-02   1.27362829e+00],[  5.36983992e-01   5.09727207e+02   4.62170352e-03   7.67148131e+00],[  6.85479963e-01   2.40484235e+03   1.49100793e-02   4.55800949e-01]
[  5.78990935e-01   1.65572795e+03   1.85641556e-02   9.62614310e-01],[  5.82672920e-01   1.65899840e+03   2.36268734e-02   9.01277842e-01],[  4.08210684e-01   3.32474745e+02   1.15683000e-02   1.12871559e+01],[  5.78038328e-01   1.65455330e+03   2.36268734e-02   1.14651243e+00],[  4.08210684e-01   3.32474745e+02   1.15683000e-02   1.12871559e+01],[  6.84501000e-01   1.78866039e+03   1.98768034e-02   4.27871140e-01]
[  6.74721535e-01   2.18553281e+03   3.82025579e-02   3.40736820e-01],[  6.74721535e-01   2.18553281e+03   3.82025579e-02   3.40736820e-01],[  4.98324164e-01   5.04645170e+02   3.71863874e-02   7.62109394e+00],[  6.74721535e-01   2.18553281e+03   3.82025579e-02   3.40736820e-01],[  4.98324164e-01   5.04645170e+02   3.71863874e-02   7.62109394e+00],[  6.67435528e-01   1.85673653e+03   2.64046284e-02   3.69937437e-01]
[  6.04484041e-01   1.15280029e+03   5.93091714e-02   6.86765985e-01],[  6.04484041e-01   1.15280029e+03   5.93091714e-02   6.86765985e-01],[  3.92488775e-01   2.64732791e+02   4.78382959e-02   9.87607167e+00],[  6.04484041e-01   1.15280029e+03   5.93091714e-02   6.86765985e-01],[  3.92488775e-01   2.64732791e+02   4.78382959e-02   9.87607167e+00],[  6.34637982e-01   1.10046511e+03   4.48017909e-02   4.45054493e-01]
[  7.33289861e-01   1.74022848e+03   6.21143566e-02   4.05736462e-02],[  7.33289861e-01   1.74022848e+03   6.21143566e-02   4.05736462e-02],[  3.72380473e-01   2.64760497e+02   3.24184938e-02   8.73042107e+00],[  7.33289861e-01   1.74022848e+03   6.21143566e-02   4.05736462e-02],[  3.72218370e-01   2.64760222e+02   3.25276354e-02   8.71392786e+00],[  7.33289861e-01   1.74022848e+03   6.21143566e-02   4.05736462e-02]
[  7.51309355e-01   1.60204415e+03   7.02283452e-02   8.61656245e-03],[  7.51309355e-01   1.60204415e+03   7.02283452e-02   8.61656245e-03],[  3.01484048e-01   1.73057323e+02   3.55495412e-02   9.24117219e+00],[  7.51309355e-01   1.60204415e+03   7.02283452e-02   8.61656245e-03],[  3.01484048e-01   1.73057323e+02   3.55495412e-02   9.24117219e+00],[  7.51309355e-01   1.60204415e+03   7.02283452e-02   8.61656245e-03]
[  7.30973188e-01   1.35608923e+03   7.57918255e-02   3.81831873e-02],[  7.30973188e-01   1.35608923e+03   7.57918255e-02   3.81831873e-02],[  3.60268175e-01   2.20296037e+02   4.38290385e-02   1.32124357e+01],[  7.30973188e-01   1.35608923e+03   7.57918255e-02   3.81831873e-02],[  3.60268175e-01   2.20296037e+02   4.38290385e-02   1.32124357e+01],[  7.24635094e-01   1.25904249e+03   6.85195820e-02   1.07366032e-01]
[  7.63349296e-01   1.66384436e+03   1.01900863e-01   5.31449828e-03],[  7.63349296e-01   1.66384436e+03   1.01900863e-01   5.31449828e-03],[  2.97674102e-01   1.60649476e+02   2.91965252e-02   9.19743773e+00],[  7.63349296e-01   1.66384436e+03   1.01900863e-01   5.31449828e-03],[  2.97674102e-01   1.60649476e+02   2.91965252e-02   9.19743773e+00],[  7.51234128e-01   1.45809753e+03   8.86656796e-02   6.98454826e-02]
